ED,ECU,FCU,FD,APL,Force
36.39,27.15,8.368,21.3,31.09,1.32999324060127
36.01,27.14,8.309,21.29,31.09,1.32946515841679
35.78,27.19,8.221,21.35,31.27,1.33083311689067
35.75,27.2,8.148,21.42,31.62,1.32982300419185
35.77,27.13,8.133,21.47,32.03,1.32960340072694
35.75,27.01,8.177,21.47,32.29,1.33082701724728
35.73,26.91,8.192,21.34,32.25,1.32974938138238
35.75,26.93,8.192,21.22,31.99,1.32965938391419
35.83,26.93,8.177,21.2,31.93,1.33082334306961
35.91,26.94,8.104,21.21,32.14,1.32972052779821
35.88,26.91,8.016,21.23,32.3,1.32965920072252
35.75,26.89,7.929,21.22,32.49,1.33082285613028
35.55,26.87,7.826,21.15,32.84,1.32972074672633
35.34,26.72,7.738,21.12,33.07,1.32965901764938
35.28,26.57,7.724,21.12,33.07,1.33082236924234
35.28,26.55,7.724,21.11,33.03,1.32972096577017
35.23,26.5,7.709,21.07,33.05,1.32965883469477
35.19,26.03,7.709,21,33.17,1.33082188240584
35.05,25.4,7.695,20.99,33.21,1.32972118492972
34.64,24.99,7.695,21.01,33.22,1.3296586518587
34.52,24.67,7.695,21.06,33.22,1.33082139562081
34.47,24.53,7.709,21.11,33.21,1.32972140420497
34.33,24.52,7.709,21.12,33.18,1.32965846914117
34.16,24.51,7.709,21.07,33.03,1.33082090888728
33.85,24.47,7.695,21.05,32.92,1.3297216235959
34.26,24.29,7.695,21.07,33.05,1.32965828654221
35.1,23.9,7.695,21.1,33.1,1.33082162178085
35.68,23.58,7.651,21.16,33.06,1.32976422043032
35.91,23.52,7.607,21.24,33.06,1.32961029809223
35.91,23.55,7.534,21.3,33.04,1.33082498112715
35.93,23.35,7.475,21.42,33.01,1.32985143447875
36.01,23.25,7.49,21.59,33.02,1.32948748062962
36.26,23.48,7.446,21.74,33.04,1.33083367878782
36.57,23.76,7.329,21.89,33.04,1.33004749083219
36.63,23.85,7.27,21.99,33.04,1.32918587100063
36.63,23.71,7.27,22.02,32.96,1.33085589004926
36.68,23.46,7.27,22.01,32.76,1.33055257396258
36.65,23.32,7.27,21.98,32.64,1.32842456257784
36.6,23.26,7.256,21.96,32.67,1.33092336051912
36.49,23.27,7.256,21.92,32.68,1.3325457472496
36.39,23.35,7.3,21.94,32.65,1.32283112418767
36.39,23.07,7.329,21.99,32.52,1.3106045717536
36.29,22.4,7.314,22.01,32.43,1.30826329039535
36.57,21.76,7.314,22,32.48,1.31027915966357
38.68,21.15,7.314,22.13,32.48,1.31080490274303
41.05,20.97,7.475,22.87,32.36,1.31034191869445
42.52,21.16,7.724,23.76,32.51,1.30804790190966
43.34,21.21,7.841,24.25,32.75,1.31101545596565
43.71,21.19,7.899,24.52,32.7,1.32365466000241
43.94,21.23,7.943,24.72,32.32,1.33256737934235
44.29,21.28,7.987,24.92,31.8,1.33071130920326
44.66,21.31,8.06,25.17,31.57,1.32858310337506
44.7,21.33,8.104,25.36,31.56,1.33052417281398
44.73,21.31,8.133,25.45,31.58,1.33077832820297
44.91,21.26,8.133,25.48,31.63,1.32928641987897
45.07,21.29,8.148,25.48,31.69,1.32999639332546
45.09,21.33,8.119,25.46,31.67,1.33080208360427
44.99,21.33,8.09,25.4,31.54,1.32956599724082
44.79,21.31,8.031,25.31,31.35,1.32979089169249
44.43,21.29,8.016,25.29,31.2,1.33081105866985
44.35,21.29,8.016,25.3,31.19,1.32968008930115
44.17,21.28,8.016,25.28,31.25,1.32969968249239
43.71,21.25,7.987,25.21,31.29,1.33081458605373
43.55,21.16,7.914,25.08,31.11,1.32972448620087
43.6,21.14,7.841,24.99,30.78,1.32960796309711
43.71,21.14,7.826,24.99,30.63,1.33081771648963
43.94,21.15,7.812,25.04,30.59,1.32980543945298
44.37,21.2,7.841,25.14,30.54,1.3294885286302
44.81,21.27,7.856,25.25,30.62,1.33082707595623
45.28,21.37,7.856,25.31,30.65,1.33000384623186
45.63,21.39,7.87,25.3,30.55,1.32921377167992
45.73,21.4,7.885,25.19,30.56,1.33084857278784
45.71,21.31,7.899,24.99,30.57,1.33043881533774
45.64,21.13,8.075,24.72,30.57,1.32859743610754
45.51,21.07,8.207,24.29,30.59,1.33090106146992
45.37,21.01,8.192,23.82,30.6,1.33162317498589
45.12,20.9,8.177,23.42,30.58,1.32644545906352
44.74,20.79,8.163,23.06,30.56,1.33118756163226
44.16,20.69,8.133,22.84,30.54,1.35111176082028
43.55,20.54,8.09,22.79,30.52,1.36361183635993
43.35,20.44,8.075,22.79,30.51,1.36068740240638
43.4,20.41,8.09,22.78,30.54,1.35835244180645
