ED,ECU,FCU,FD,APL,Force
26.38,9.626,6.992,17.16,18.22,0.680151966237131
26.31,9.702,6.992,17.17,18.22,0.679715572060626
26.28,9.746,6.992,17.18,18.21,0.679268167225504
26.28,9.746,6.992,17.2,18.22,0.680175381737264
26.31,9.778,6.992,17.18,18.22,0.680140788278874
26.4,9.789,7.022,17.17,18.22,0.678658960250785
26.3,9.778,7.139,17.13,18.19,0.680222410845665
25.95,9.746,7.241,17.02,18.12,0.681065800189573
25.66,9.735,7.27,16.91,18.08,0.677299954349485
25.46,9.724,7.358,16.81,18.07,0.680347860027837
25.4,9.713,7.519,16.7,18.07,0.684069953235562
25.38,9.702,7.607,16.59,18.06,0.669912992138139
25.4,9.691,7.68,16.54,18.05,0.660220938403819
25.4,9.691,7.724,16.5,18.04,0.673391357760786
25.41,9.691,7.738,16.42,18.04,0.681056632066933
25.41,9.691,7.753,16.27,18.03,0.680271071516004
25.4,9.691,7.768,16.14,18.03,0.692782856436673
25.43,9.713,7.753,16.05,18.02,0.70227685211345
25.38,9.702,7.753,16,18.02,0.700174715739153
25.09,9.691,7.753,16.01,17.99,0.710621296574589
24.79,9.702,7.753,16.13,17.94,0.725697430324431
24.53,9.713,7.753,16.26,17.92,0.719796664439409
24.3,9.702,7.753,16.34,17.89,0.713206980497453
24.15,9.702,7.768,16.37,17.82,0.731767781680939
24.14,9.691,7.797,16.39,17.72,0.750407546639452
24.11,9.659,7.782,16.42,17.65,0.749374294713781
23.78,9.409,7.812,16.51,17.56,0.754346773748123
23.17,8.996,7.899,16.58,17.52,0.770558553214141
22.37,8.518,7.958,16.44,17.51,0.77273254819371
21.52,8.116,8.046,16.2,17.51,0.766910772383835
21.21,7.844,8.104,16,17.51,0.770363580822159
21.33,7.627,8.06,15.85,17.48,0.771832428985868
21.42,7.746,7.987,15.7,17.26,0.766638068730414
21.46,7.844,7.958,15.61,16.88,0.770513805398652
21.39,7.779,8.002,15.52,16.58,0.784239341887227
21.29,7.779,8.09,15.41,16.42,0.791917227029547
21.24,7.888,8.207,15.36,16.31,0.790120624317763
21.26,8.811,8.265,15.32,16.2,0.788723567566161
21.39,9.42,8.25,15.3,16.11,0.790154292780655
21.62,9.441,8.221,15.31,16.03,0.790185042865355
21.87,9.42,8.221,15.32,15.97,0.789364543580921
22.06,9.409,8.192,15.3,15.81,0.789554065452812
22.13,9.398,8.163,15.29,15.59,0.790220992618621
22.14,9.387,8.148,15.29,15.46,0.789873647753036
22.44,9.496,8.148,15.29,15.45,0.78893537640982
22.88,9.561,8.163,15.31,15.53,0.790269035834256
23.17,9.539,8.148,15.35,15.59,0.790710636984861
23.37,9.528,8.133,15.4,15.56,0.787495289865935
23.61,9.517,8.133,15.41,15.45,0.790478540173633
23.93,9.507,8.119,15.4,15.35,0.803591596029924
24.04,9.496,8.119,15.4,15.32,0.812530607149603
24.02,9.496,8.133,15.4,15.31,0.810074593033068
23.97,9.507,8.119,15.42,15.31,0.807910138144787
23.91,9.615,8.119,15.43,15.32,0.811122027527699
23.84,9.669,8.119,15.44,15.32,0.810100500471926
23.68,9.669,8.119,15.42,15.29,0.807721276047945
23.47,9.669,8.119,15.39,15.15,0.811839710924293
23.4,9.735,8.119,15.38,14.83,0.809994852285292
23.44,9.778,8.119,15.36,14.48,0.804926133190007
23.47,9.778,8.119,15.31,14.13,0.820290555928429
23.45,9.789,8.119,15.24,13.8,0.840563356642066
23.4,9.789,8.119,15.11,13.51,0.840415945509729
23.44,9.778,8.119,15.01,13.28,0.843166577155316
23.34,9.789,8.119,14.96,13.13,0.860726110521412
23.32,9.789,8.104,14.89,13.09,0.864164050185021
23.29,9.8,8.104,14.84,13.2,0.854520050218667
23.27,9.822,8.09,14.82,13.54,0.860726417598639
23.39,9.8,8.06,14.8,13.77,0.876220028614561
23.55,9.789,8.031,14.84,13.72,0.879109299582895
23.68,9.8,8.002,14.83,13.39,0.880498890768523
23.79,9.767,7.973,14.77,13.06,0.893500644423426
23.89,9.746,7.943,14.67,13.05,0.902290901181313
24.01,9.735,7.929,14.52,13.39,0.900172441612838
23.88,9.713,7.929,14.41,13.73,0.898958504733516
23.76,9.724,7.929,14.37,13.91,0.899513010234013
23.73,9.724,7.943,14.37,13.92,0.900322848109176
23.75,9.702,7.973,14.45,13.92,0.900892165290104
23.79,9.691,8.031,14.6,14.08,0.896751553484252
23.83,9.68,8.075,14.7,14.21,0.900697194357488
23.84,9.669,8.104,14.74,14.24,0.920782649850632
23.86,9.68,8.119,14.77,14.2,0.933702182511867
23.99,9.702,8.148,14.81,14.17,0.930105935242299
24.14,9.746,8.177,14.85,14.15,0.928001503553231
24.25,9.789,8.221,14.87,14.17,0.930624221614366
24.37,9.822,8.236,14.87,14.17,0.930234684009451
24.43,9.832,8.236,14.87,14.2,0.929109789294086
24.47,9.822,8.25,14.89,14.21,0.929685403411334
24.5,9.811,8.294,14.92,14.21,0.930291616867185
24.5,9.822,8.294,14.94,14.2,0.929769348875287
24.47,9.832,8.324,14.96,14.17,0.928961465321678
24.4,9.843,8.382,14.96,14.15,0.930352675594901
24.32,9.843,8.382,14.97,14.15,0.930723303338641
24.24,9.854,8.397,14.97,14.17,0.927396487515406
24.14,9.865,8.397,14.97,14.18,0.930594625441614
24.02,9.865,8.382,14.9,14.2,0.943842776500791
23.96,9.854,8.368,14.77,14.21,0.95215649953327
23.96,9.854,8.353,14.64,14.21,0.950177575885774
23.96,9.843,8.353,14.57,14.17,0.948556857157334
24.01,9.843,8.353,14.56,14.15,0.950167213144613
24.04,9.843,8.324,14.61,14.15,0.950265124366174
24.07,9.811,8.294,14.67,14.19,0.949309209540887
24.12,9.789,8.25,14.71,14.2,0.949508363216771
24.12,9.811,8.192,14.73,14.2,0.95031024161293
24.02,9.832,8.148,14.73,14.2,0.949844244331747
23.94,9.832,8.133,14.76,14.23,0.948838362267241
23.88,9.822,8.133,14.81,14.22,0.950371602696907
23.84,9.811,8.133,14.86,14.15,0.950821114440566
23.83,9.822,8.119,14.9,14.11,0.947163975007476
23.84,9.854,8.075,14.94,14.09,0.950633977718362
23.96,9.908,8.06,14.92,14.1,0.964183595301446
24.14,9.952,8.046,14.85,14.1,0.97159228893081
24.3,9.941,8.031,14.81,14.1,0.970239505407112
24.38,9.93,7.987,14.8,14.1,0.969405542240336
24.4,9.93,7.973,14.81,14.11,0.968843480209845
24.47,9.985,7.958,14.81,14.1,0.97040891315713
24.69,10.07,7.943,14.82,14.08,0.971470440122683
24.97,10.09,7.914,14.83,14.08,0.965819330537636
25.43,10.14,7.885,14.9,14.1,0.970847205404543
26.04,10.21,7.87,15.01,14.21,0.992040285913224
26.4,10.21,7.826,15.15,14.34,1.00157078458292
