ED,ECU,FCU,FD,APL,Force
3.637,3.694,4.9,13.91,3.851,0.0291625746586081
3.669,3.67,4.9,13.96,3.865,0.0279407702462262
3.669,3.67,4.886,14.01,3.865,0.0310188048601338
3.637,3.67,4.886,14.01,3.851,0.034280577668963
3.606,3.694,4.927,13.99,3.851,0.034127723924777
3.543,3.694,4.983,13.99,3.878,0.0340932705643408
3.481,3.694,4.983,14.02,3.959,0.0342118383957079
3.418,3.694,4.927,14.01,3.986,0.0333285385568434
3.355,3.67,4.913,13.97,3.986,0.0358882737424942
3.324,3.646,4.941,13.93,3.986,0.0403308007576231
3.292,3.622,5.011,13.91,3.986,0.0406287622620812
3.292,3.622,5.039,13.88,3.946,0.0395567888471721
3.292,3.646,5.039,13.87,3.932,0.0402631253974286
3.292,3.646,5.039,13.87,3.946,0.0402027677956483
3.324,3.646,5.039,13.86,4.04,0.0398500069937423
3.355,3.646,5.053,13.82,4.107,0.0402461830318597
3.355,3.646,5.067,13.78,4.134,0.0400325358896465
3.355,3.67,5.08,13.78,4.161,0.040011188275557
3.324,3.67,5.08,13.76,4.215,0.0402342590899037
3.261,3.717,5.08,13.73,4.215,0.0398887654639832
3.261,3.788,5.094,13.72,4.242,0.0401772165191663
3.261,3.859,5.094,13.84,4.255,0.04021865063096
3.261,3.93,5.094,13.98,4.255,0.0396315861245873
3.261,3.978,5.094,14.06,4.282,0.0406305105959924
3.261,4.025,5.094,14.07,4.309,0.0401458642037426
3.261,4.025,5.094,14.01,4.323,0.0356934300850252
3.292,4.049,5.067,13.81,4.296,0.0332027631712115
3.324,4.049,5.067,13.56,4.255,0.0342687750592819
3.324,4.049,5.053,13.38,4.229,0.0342467039224152
3.324,4.025,4.997,13.26,4.188,0.0338359128267285
3.324,4.025,4.969,13.19,4.161,0.0342384770849837
3.324,4.025,4.969,13.26,4.148,0.0339652834713951
3.324,4.001,4.969,13.11,4.134,0.0341130520907526
3.261,3.978,4.955,12.64,4.134,0.0342155310939232
