ED,ECU,FCU,FD,APL,Force
3.481,5.09,6.639,10.69,15.31,0.0633106123011308
3.481,5.09,6.667,10.58,15.33,0.062758158220988
3.481,5.019,6.681,10.53,15.33,0.0622014648802111
3.481,4.948,6.681,10.52,15.37,0.0627392304057527
3.481,4.925,6.681,10.6,15.27,0.0627764848073183
3.481,4.948,6.709,10.74,15.19,0.0623903530789276
3.512,4.948,6.709,10.74,15.24,0.0625977482882699
3.512,4.948,6.695,10.69,15.16,0.062782581020382
3.512,4.948,6.695,10.63,15.03,0.0624655328579994
3.481,4.948,6.653,10.6,14.95,0.0625360764039731
3.481,4.948,6.626,10.58,14.95,0.0627848889292379
3.481,4.948,6.639,10.58,14.89,0.0624870605178389
3.481,4.948,6.639,10.59,14.72,0.0625230823814164
3.481,4.996,6.653,10.59,14.45,0.0627846845054312
3.512,5.019,6.681,10.59,14.21,0.0624743428290841
3.512,4.996,6.681,10.55,14.1,0.0625388405056573
3.481,4.996,6.681,10.58,14.02,0.062782124859952
3.512,5.043,6.681,10.62,13.98,0.0624292607781423
3.512,5.138,6.667,10.62,14.11,0.0625999888230248
3.512,5.232,6.667,10.64,14.26,0.0627769364742564
3.512,5.28,6.639,10.75,14.25,0.0623273804751083
3.481,5.28,6.598,10.87,14.26,0.0627497360116779
3.481,5.28,6.612,10.92,14.3,0.0627609829087938
3.512,5.28,6.612,10.9,14.32,0.0618586100507048
3.606,5.28,6.681,10.84,14.3,0.0642554576416013
3.669,5.28,6.723,10.79,14.29,0.0688803871710281
3.731,5.28,6.737,10.78,14.29,0.0694635294962016
3.763,5.28,6.737,10.77,14.29,0.0674782293007821
3.763,5.28,6.751,10.77,14.29,0.0688787218207424
3.763,5.304,6.82,10.84,14.29,0.0724078632000225
3.763,5.327,6.89,10.98,14.27,0.0738100440865432
3.763,5.327,6.904,10.98,14.22,0.0737921005503002
3.763,5.351,6.89,11.07,14.05,0.0737132863030687
3.763,5.375,6.876,11.22,13.92,0.0730002179179398
3.731,5.375,6.876,11.36,13.94,0.0738639794872694
3.763,5.327,6.876,11.53,13.83,0.0777244996185093
3.763,5.304,6.876,11.58,13.79,0.0803601572954867
3.794,5.304,6.862,11.54,13.8,0.079763176326026
3.763,5.28,6.848,11.52,13.79,0.0792187785904873
3.731,5.28,6.848,11.48,13.64,0.0797047849734022
3.731,5.28,6.876,11.43,13.44,0.0797890680723781
3.763,5.232,6.946,11.41,13.33,0.0795067088993829
3.763,5.209,6.96,11.41,13.28,0.0794281275390981
3.763,5.185,6.904,11.36,13.26,0.0798066784141419
3.763,5.209,6.876,11.16,13.25,0.07977604151886
3.731,5.209,6.862,10.97,13.25,0.079073917803058
3.763,5.209,6.862,10.89,13.26,0.0798378661140019
3.794,5.209,6.862,10.94,13.29,0.0804925876335518
3.794,5.256,6.876,11.02,13.29,0.0772158069394701
3.825,5.256,6.862,11.03,13.28,0.0737440289354831
